v	c	a	d	time	branch	n_der	n_tot	time_elapsed	iter	p
0	0	0	0	0.474137931	v	3694668	671740702	0	10	0.00550014014187278
2	2	2	2	0.474137931	v	550264171	550385843	0	10	0.999778933267366
0	0	0	2	0.474137931	v	121604	40705535	0.4	10	0.00298740699514206
2	2	2	0	0.474137931	v	33368602	33730629	0.4	10	0.989267113874455
0	0	0	1	0.474137931	v	11748	15413967	6.05	10	0.000762165897980708
1	0	0	0	0.474137931	v	2481863	7848969	32.65	10	0.316202420980386
0	2	0	0	0.474137931	v	401735	4439222	32.05	10	0.0904967131628019
0	0	1	0	0.474137931	v	163321	4332776	30.8	10	0.0376943096065894
0	0	2	0	0.474137931	v	293220	4172637	18.95	10	0.0702721085011708
2	0	0	0	0.474137931	v	2205661	3444381	36.65	10	0.640364988658339
0	1	0	0	0.474137931	v	146969	2992185	83.75	10	0.0491176180617174
2	2	0	0	0.474137931	v	2416537	2799268	20.9	10	0.863274613220313
1	2	0	0	0.474137931	v	765541	1572384	48.25	10	0.486866439750086
2	2	2	1	0.474137931	v	2299426	2310902	9.3	10	0.995033973747048
2	0	2	0	0.474137931	v	1129240	1390650	38.35	10	0.812023154639917
2	2	1	0	0.474137931	v	1280902	1410418	35	10	0.908171903648422
0	2	2	0	0.474137931	v	295793	1330450	39.4	10	0.222325528956368
1	2	2	0	0.474137931	v	722782	1314072	38.2	10	0.550032266116316
1	0	2	0	0.474137931	v	522268	1107144	49.85	10	0.471725448541472
0	2	1	0	0.474137931	v	117798	627197	96.2	10	0.18781658713291
1	0	1	0	0.474137931	v	268170	594637	109.3	10	0.450981018671896
2	0	1	0	0.474137931	v	465338	599390	98.4	10	0.776352625168922
2	1	0	0	0.474137931	v	426539	547869	134.4	10	0.778541950721797
1	1	0	0	0.474137931	v	243493	537742	168.85	10	0.452806364390358
0	0	2	2	0.474137931	v	80196	753062	29.65	10	0.106493223665515
2	2	0	2	0.474137931	v	675270	756404	29.5	10	0.892737214504418
1	2	1	0	0.474137931	v	260865	495759	109.6	10	0.526193170471943
2	1	2	0	0.474137931	v	430051	502729	98.25	10	0.855433046432571
0	1	2	0	0.474137931	v	70261	412423	136.9	10	0.170361497782616
0	0	1	2	0.474137931	v	37509	465144	48.6	10	0.0806395438831846
2	2	1	2	0.474137931	v	432287	470027	47.65	10	0.919706740251092
1	0	0	2	0.474137931	v	190967	433211	52.3	10	0.440817523100752
2	0	2	2	0.474137931	v	362351	438206	51.2	10	0.826896482476278
